filename, language, JSON, Shell Script, Markdown, YAML, SQL, JavaScript, HTML, JavaScript React, CSS, XML, comment, blank, total
.gitlab-ci.yml, YAML, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 4, 3, 22
.prettierrc, JSON, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
README.md, Markdown, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 22, 3, 27
doc/API/README.md, Markdown, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 15, 44
doc/API/login.md, Markdown, 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 17, 59
doc/API/media/addMediaLink.md, Markdown, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 16, 46
doc/API/media/get.md, Markdown, 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 16, 64
doc/API/media/getAudio.md, Markdown, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 14, 36
doc/API/media/remove.md, Markdown, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 16, 45
doc/API/media/stream.md, Markdown, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 14, 32
doc/API/media/toggleMediaSharing.md, Markdown, 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 20, 64
doc/API/media/upload.md, Markdown, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 16, 45
doc/API/presets/get.md, Markdown, 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 14, 48
doc/API/presets/load.md, Markdown, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 14, 37
doc/API/presets/upload.md, Markdown, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 16, 45
doc/API/projects/clone.md, Markdown, 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 15, 51
doc/API/projects/get.md, Markdown, 0, 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 14, 60
doc/API/projects/new.md, Markdown, 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 15, 52
doc/API/projects/remove.md, Markdown, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 16, 45
doc/API/projects/sharing/add.md, Markdown, 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 21, 71
doc/API/projects/sharing/public.md, Markdown, 0, 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 24, 70
doc/API/projects/sharing/remove.md, Markdown, 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 18, 56
doc/API/projects/update.md, Markdown, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 16, 46
doc/API/register.md, Markdown, 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 17, 69
doc/Back-end/README.md, Markdown, 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 19, 56
doc/Front-end/README.md, Markdown, 0, 0, 179, 0, 0, 0, 0, 0, 0, 0, 0, 95, 274
doc/GUI/module_walkthrough.md, Markdown, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 23, 63
doc/OSC/README.md, Markdown, 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 17, 61
doc/Project_Save_Restore.md, Markdown, 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 8, 39
doc/README.md, Markdown, 0, 0, 105, 0, 0, 0, 0, 0, 0, 0, 0, 43, 148
